Name;Source Name;M;M1;N;X0;eps;h;n;r0;repetition;rho;sigma;tipo;average;max;min;timeSGD
N:50-n:5-r0:10-rho:0.9-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;5;10;100;0,9;0,5;lagrange;404,47;1415;51;0,37292208
N:50-n:5-r0:10-rho:0.8-M:10000;KSS_review.py;10000;1000000;50;0,5;0,01;0,01;5;10;100;0,8;0,5;lagrange;3;3;3;0,316009206
N:50-n:5-r0:10-rho:0.8-M:1000;KSS_review.py;1000;1000000;50;0,5;0,01;0,01;5;10;100;0,8;0,5;lagrange;3,47;9;3;0,026919398
N:50-n:5-r0:10-rho:0.8-M:100;KSS_review.py;100;1000000;50;0,5;0,01;0,01;5;10;100;0,8;0,5;lagrange;10,22;32;3;0,018333423
N:50-n:5-r0:10-rho:0.8-M:10;KSS_review.py;10;1000000;50;0,5;0,01;0,01;5;10;100;0,8;0,5;lagrange;59,54;238;8;0,069992644
N:50-n:5-r0:10-rho:0.8-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;5;10;100;0,8;0,5;lagrange;348,01;1546;45;0,320426522
N:50-n:5-r0:10-rho:0.7-M:10000;KSS_review.py;10000;1000000;50;0,5;0,01;0,01;5;10;100;0,7;0,5;lagrange;3,01;4;3;0,317217223
N:50-n:5-r0:10-rho:0.7-M:1000;KSS_review.py;1000;1000000;50;0,5;0,01;0,01;5;10;100;0,7;0,5;lagrange;3,58;6;3;0,027763363
N:50-n:5-r0:10-rho:0.7-M:100;KSS_review.py;100;1000000;50;0,5;0,01;0,01;5;10;100;0,7;0,5;lagrange;10,84;38;3;0,01945997
N:50-n:5-r0:10-rho:0.7-M:10;KSS_review.py;10;1000000;50;0,5;0,01;0,01;5;10;100;0,7;0,5;lagrange;61,8;170;11;0,072452677
N:50-n:5-r0:10-rho:0.7-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;5;10;100;0,7;0,5;lagrange;450,83;1185;32;0,415809028
N:50-n:5-r0:10-rho:0.6-M:10000;KSS_review.py;10000;1000000;50;0,5;0,01;0,01;5;10;100;0,6;0,5;lagrange;3,03;4;3;0,319138428
N:50-n:5-r0:10-rho:0.6-M:1000;KSS_review.py;1000;1000000;50;0,5;0,01;0,01;5;10;100;0,6;0,5;lagrange;3,88;7;3;0,030041807
N:50-n:5-r0:10-rho:0.6-M:100;KSS_review.py;100;1000000;50;0,5;0,01;0,01;5;10;100;0,6;0,5;lagrange;11,73;32;3;0,021049187
N:50-n:5-r0:10-rho:0.6-M:10;KSS_review.py;10;1000000;50;0,5;0,01;0,01;5;10;100;0,6;0,5;lagrange;72,6;243;13;0,085256699
N:50-n:5-r0:10-rho:0.6-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;5;10;100;0,6;0,5;lagrange;586,13;1711;119;0,540216285
N:50-n:5-r0:5-rho:0.9-M:10000;KSS_review.py;10000;1000000;50;0,5;0,01;0,01;5;5;100;0,9;0,5;lagrange;1,12;2;1;0,132838524
N:50-n:5-r0:5-rho:0.9-M:1000;KSS_review.py;1000;1000000;50;0,5;0,01;0,01;5;5;100;0,9;0,5;lagrange;2,36;9;1;0,018386864
N:50-n:5-r0:5-rho:0.9-M:100;KSS_review.py;100;1000000;50;0,5;0,01;0,01;5;5;100;0,9;0,5;lagrange;13,23;149;1;0,023726222
N:50-n:5-r0:5-rho:0.9-M:10;KSS_review.py;10;1000000;50;0,5;0,01;0,01;5;5;100;0,9;0,5;lagrange;84,16;436;4;0,098913565
N:50-n:5-r0:5-rho:0.9-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;5;5;100;0,9;0,5;lagrange;730,02;4999;35;0,673620496
N:50-n:5-r0:5-rho:0.8-M:10000;KSS_review.py;10000;1000000;50;0,5;0,01;0,01;5;5;100;0,8;0,5;lagrange;1,12;2;1;0,132897683
N:50-n:5-r0:5-rho:0.8-M:1000;KSS_review.py;1000;1000000;50;0,5;0,01;0,01;5;5;100;0,8;0,5;lagrange;2,25;13;1;0,01754499
N:50-n:5-r0:5-rho:0.8-M:100;KSS_review.py;100;1000000;50;0,5;0,01;0,01;5;5;100;0,8;0,5;lagrange;10,22;41;2;0,018388683
N:50-n:5-r0:5-rho:0.8-M:10;KSS_review.py;10;1000000;50;0,5;0,01;0,01;5;5;100;0,8;0,5;lagrange;46,14;159;6;0,054183869
N:50-n:5-r0:5-rho:0.8-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;5;5;100;0,8;0,5;lagrange;463,29;3178;25;0,427350841
N:50-n:5-r0:5-rho:0.7-M:10000;KSS_review.py;10000;1000000;50;0,5;0,01;0,01;5;5;100;0,7;0,5;lagrange;1,18;2;1;0,138780065
N:50-n:5-r0:5-rho:0.7-M:1000;KSS_review.py;1000;1000000;50;0,5;0,01;0,01;5;5;100;0,7;0,5;lagrange;2,15;6;1;0,01679617
N:50-n:5-r0:5-rho:0.7-M:100;KSS_review.py;100;1000000;50;0,5;0,01;0,01;5;5;100;0,7;0,5;lagrange;8,19;54;2;0,014699172
N:50-n:5-r0:5-rho:0.7-M:10;KSS_review.py;10;1000000;50;0,5;0,01;0,01;5;5;100;0,7;0,5;lagrange;46,93;227;3;0,055357308
N:50-n:5-r0:5-rho:0.7-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;5;5;100;0,7;0,5;lagrange;361,65;1297;65;0,334160406
N:50-n:5-r0:5-rho:0.6-M:10000;KSS_review.py;10000;1000000;50;0,5;0,01;0,01;5;5;100;0,6;0,5;lagrange;1,1;2;1;0,130806339
N:50-n:5-r0:5-rho:0.6-M:1000;KSS_review.py;1000;1000000;50;0,5;0,01;0,01;5;5;100;0,6;0,5;lagrange;2,19;7;1;0,017103573
N:50-n:5-r0:5-rho:0.6-M:100;KSS_review.py;100;1000000;50;0,5;0,01;0,01;5;5;100;0,6;0,5;lagrange;8,4;41;2;0,015116602
N:50-n:5-r0:5-rho:0.6-M:10;KSS_review.py;10;1000000;50;0,5;0,01;0,01;5;5;100;0,6;0,5;lagrange;47,53;183;9;0,05633446
N:50-n:5-r0:5-rho:0.6-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;5;5;100;0,6;0,5;lagrange;395,19;1098;43;0,364186625
N:50-n:5-r0:1-rho:0.9-M:10000;KSS_review.py;10000;1000000;50;0,5;0,01;0,01;5;1;100;0,9;0,5;lagrange;74,81;105;59;6.896.014.216.759.990
N:50-n:5-r0:1-rho:0.9-M:1000;KSS_review.py;1000;1000000;50;0,5;0,01;0,01;5;1;100;0,9;0,5;lagrange;95,25;261;56;0,737436969
N:50-n:5-r0:1-rho:0.9-M:100;KSS_review.py;100;1000000;50;0,5;0,01;0,01;5;1;100;0,9;0,5;lagrange;197,87;986;44;0,352969542
N:50-n:5-r0:1-rho:0.9-M:10;KSS_review.py;10;1000000;50;0,5;0,01;0,01;5;1;100;0,9;0,5;lagrange;1136,45;4999;55;13.329.000.838.699.900
N:50-n:5-r0:1-rho:0.9-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;5;1;100;0,9;0,5;lagrange;3648,93;4999;76;3.399.376.951.720.000
N:50-n:5-r0:1-rho:0.8-M:10000;KSS_review.py;10000;1000000;50;0,5;0,01;0,01;5;1;100;0,8;0,5;lagrange;38,4;55;32;35.481.099.146.700.000
N:50-n:5-r0:1-rho:0.8-M:1000;KSS_review.py;1000;1000000;50;0,5;0,01;0,01;5;1;100;0,8;0,5;lagrange;45,27;82;31;0,350552968
N:50-n:5-r0:1-rho:0.8-M:100;KSS_review.py;100;1000000;50;0,5;0,01;0,01;5;1;100;0,8;0,5;lagrange;75,52;391;28;0,134838581
N:50-n:5-r0:1-rho:0.8-M:10;KSS_review.py;10;1000000;50;0,5;0,01;0,01;5;1;100;0,8;0,5;lagrange;309,55;2893;28;0,363320582
N:50-n:5-r0:1-rho:0.8-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;5;1;100;0,8;0,5;lagrange;1862,49;4999;97;17.201.678.114.700.000
N:50-n:5-r0:1-rho:0.7-M:10000;KSS_review.py;10000;1000000;50;0,5;0,01;0,01;5;1;100;0,7;0,5;lagrange;24,47;31;21;22.776.396.866.299.900
N:50-n:5-r0:1-rho:0.7-M:1000;KSS_review.py;1000;1000000;50;0,5;0,01;0,01;5;1;100;0,7;0,5;lagrange;28,55;57;21;0,221037006
N:50-n:5-r0:1-rho:0.7-M:100;KSS_review.py;100;1000000;50;0,5;0,01;0,01;5;1;100;0,7;0,5;lagrange;47,32;220;18;0,085144736
N:50-n:5-r0:1-rho:0.7-M:10;KSS_review.py;10;1000000;50;0,5;0,01;0,01;5;1;100;0,7;0,5;lagrange;139,61;1619;20;0,164159222
N:50-n:5-r0:1-rho:0.7-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;5;1;100;0,7;0,5;lagrange;808,68;4272;41;0,747654895
N:50-n:5-r0:1-rho:0.6-M:10000;KSS_review.py;10000;1000000;50;0,5;0,01;0,01;5;1;100;0,6;0,5;lagrange;17,53;23;16;1.642.726.563.039.990
N:50-n:5-r0:1-rho:0.6-M:1000;KSS_review.py;1000;1000000;50;0,5;0,01;0,01;5;1;100;0,6;0,5;lagrange;20,22;33;15;0,156753085
N:50-n:5-r0:1-rho:0.6-M:100;KSS_review.py;100;1000000;50;0,5;0,01;0,01;5;1;100;0,6;0,5;lagrange;29,09;89;14;0,052364957
N:50-n:5-r0:1-rho:0.6-M:10;KSS_review.py;10;1000000;50;0,5;0,01;0,01;5;1;100;0,6;0,5;lagrange;79,35;390;9;0,093204073
N:50-n:5-r0:1-rho:0.6-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;5;1;100;0,6;0,5;lagrange;387,73;2151;17;0,359210798
N:50-n:4-r0:10-rho:0.9-M:10000;KSS_review.py;10000;1000000;50;0,5;0,01;0,01;4;10;100;0,9;0,5;lagrange;3;3;3;0,277862867
N:50-n:4-r0:10-rho:0.9-M:1000;KSS_review.py;1000;1000000;50;0,5;0,01;0,01;4;10;100;0,9;0,5;lagrange;3,54;8;3;0,025401855
N:50-n:4-r0:10-rho:0.9-M:100;KSS_review.py;100;1000000;50;0,5;0,01;0,01;4;10;100;0,9;0,5;lagrange;9,93;37;3;0,017268592
N:50-n:4-r0:10-rho:0.9-M:10;KSS_review.py;10;1000000;50;0,5;0,01;0,01;4;10;100;0,9;0,5;lagrange;46,7;272;6;0,05468091
N:50-n:4-r0:10-rho:0.9-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;4;10;100;0,9;0,5;lagrange;305,97;1289;35;0,281682898
N:50-n:4-r0:10-rho:0.8-M:10000;KSS_review.py;10000;1000000;50;0,5;0,01;0,01;4;10;100;0,8;0,5;lagrange;3,05;4;3;0,282081452
N:50-n:4-r0:10-rho:0.8-M:1000;KSS_review.py;1000;1000000;50;0,5;0,01;0,01;4;10;100;0,8;0,5;lagrange;3,96;14;3;0,028291154
N:50-n:4-r0:10-rho:0.8-M:100;KSS_review.py;100;1000000;50;0,5;0,01;0,01;4;10;100;0,8;0,5;lagrange;10,5;34;3;0,018284094
N:50-n:4-r0:10-rho:0.8-M:10;KSS_review.py;10;1000000;50;0,5;0,01;0,01;4;10;100;0,8;0,5;lagrange;46,58;157;8;0,054501476
N:50-n:4-r0:10-rho:0.8-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;4;10;100;0,8;0,5;lagrange;368,6;1830;53;0,339785237
N:50-n:4-r0:10-rho:0.7-M:10000;KSS_review.py;10000;1000000;50;0,5;0,01;0,01;4;10;100;0,7;0,5;lagrange;4,01;5;4;0,360161108
N:50-n:4-r0:10-rho:0.7-M:1000;KSS_review.py;1000;1000000;50;0,5;0,01;0,01;4;10;100;0,7;0,5;lagrange;4,56;8;3;0,032649101
N:50-n:4-r0:10-rho:0.7-M:100;KSS_review.py;100;1000000;50;0,5;0,01;0,01;4;10;100;0,7;0,5;lagrange;11,28;33;4;0,019639615
N:50-n:4-r0:10-rho:0.7-M:10;KSS_review.py;10;1000000;50;0,5;0,01;0,01;4;10;100;0,7;0,5;lagrange;59,23;183;14;0,069244198
N:50-n:4-r0:10-rho:0.7-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;4;10;100;0,7;0,5;lagrange;410,62;1270;75;0,377716327
N:50-n:4-r0:10-rho:0.6-M:10000;KSS_review.py;10000;1000000;50;0,5;0,01;0,01;4;10;100;0,6;0,5;lagrange;4,08;5;4;0,36751951
N:50-n:4-r0:10-rho:0.6-M:1000;KSS_review.py;1000;1000000;50;0,5;0,01;0,01;4;10;100;0,6;0,5;lagrange;4,96;11;4;0,035660877
N:50-n:4-r0:10-rho:0.6-M:100;KSS_review.py;100;1000000;50;0,5;0,01;0,01;4;10;100;0,6;0,5;lagrange;12,24;35;4;0,021327791
N:50-n:4-r0:10-rho:0.6-M:10;KSS_review.py;10;1000000;50;0,5;0,01;0,01;4;10;100;0,6;0,5;lagrange;66,34;181;19;0,077759549
N:50-n:4-r0:10-rho:0.6-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;4;10;100;0,6;0,5;lagrange;579,97;1574;55;0,534213197
N:50-n:4-r0:5-rho:0.9-M:10000;KSS_review.py;10000;1000000;50;0,5;0,01;0,01;4;5;100;0,9;0,5;lagrange;2;2;2;0,193692524
N:50-n:4-r0:5-rho:0.9-M:1000;KSS_review.py;1000;1000000;50;0,5;0,01;0,01;4;5;100;0,9;0,5;lagrange;2,73;9;1;0,019327644
N:50-n:4-r0:5-rho:0.9-M:100;KSS_review.py;100;1000000;50;0,5;0,01;0,01;4;5;100;0,9;0,5;lagrange;11,31;73;2;0,019406237
N:50-n:4-r0:5-rho:0.9-M:10;KSS_review.py;10;1000000;50;0,5;0,01;0,01;4;5;100;0,9;0,5;lagrange;57,05;306;6;0,066700906
N:50-n:4-r0:5-rho:0.9-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;4;5;100;0,9;0,5;lagrange;557,59;2264;30;0,514319228
N:50-n:4-r0:5-rho:0.8-M:10000;KSS_review.py;10000;1000000;50;0,5;0,01;0,01;4;5;100;0,8;0,5;lagrange;2;2;2;0,194638181
N:50-n:4-r0:5-rho:0.8-M:1000;KSS_review.py;1000;1000000;50;0,5;0,01;0,01;4;5;100;0,8;0,5;lagrange;2,6;8;2;0,018644946
N:50-n:4-r0:5-rho:0.8-M:100;KSS_review.py;100;1000000;50;0,5;0,01;0,01;4;5;100;0,8;0,5;lagrange;8,6;48;2;0,014954763
N:50-n:4-r0:5-rho:0.8-M:10;KSS_review.py;10;1000000;50;0,5;0,01;0,01;4;5;100;0,8;0,5;lagrange;50,29;204;5;0,058971403
N:50-n:4-r0:5-rho:0.8-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;4;5;100;0,8;0,5;lagrange;318,82;1536;37;0,29446068
N:50-n:4-r0:5-rho:0.7-M:10000;KSS_review.py;10000;1000000;50;0,5;0,01;0,01;4;5;100;0,7;0,5;lagrange;2;2;2;0,193331092
N:50-n:4-r0:5-rho:0.7-M:1000;KSS_review.py;1000;1000000;50;0,5;0,01;0,01;4;5;100;0,7;0,5;lagrange;2,51;8;2;0,017999719
N:50-n:4-r0:5-rho:0.7-M:100;KSS_review.py;100;1000000;50;0,5;0,01;0,01;4;5;100;0,7;0,5;lagrange;8,74;37;2;0,0152146
N:50-n:4-r0:5-rho:0.7-M:10;KSS_review.py;10;1000000;50;0,5;0,01;0,01;4;5;100;0,7;0,5;lagrange;45,96;318;7;0,05372115
N:50-n:4-r0:5-rho:0.7-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;4;5;100;0,7;0,5;lagrange;281,06;1090;45;0,259807385
N:50-n:4-r0:5-rho:0.6-M:10000;KSS_review.py;10000;1000000;50;0,5;0,01;0,01;4;5;100;0,6;0,5;lagrange;2;2;2;0,19417881
N:50-n:4-r0:5-rho:0.6-M:1000;KSS_review.py;1000;1000000;50;0,5;0,01;0,01;4;5;100;0,6;0,5;lagrange;2,52;7;2;0,018085807
N:50-n:4-r0:5-rho:0.6-M:100;KSS_review.py;100;1000000;50;0,5;0,01;0,01;4;5;100;0,6;0,5;lagrange;7,59;37;2;0,013190949
N:50-n:4-r0:5-rho:0.6-M:10;KSS_review.py;10;1000000;50;0,5;0,01;0,01;4;5;100;0,6;0,5;lagrange;41,22;93;4;0,048435074
N:50-n:4-r0:5-rho:0.6-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;4;5;100;0,6;0,5;lagrange;333,35;1513;35;0,308250367
N:50-n:4-r0:1-rho:0.9-M:10000;KSS_review.py;10000;1000000;50;0,5;0,01;0,01;4;1;100;0,9;0,5;lagrange;36,82;56;30;3.005.267.763.490.000
N:50-n:4-r0:1-rho:0.9-M:1000;KSS_review.py;1000;1000000;50;0,5;0,01;0,01;4;1;100;0,9;0,5;lagrange;45,98;122;29;0,328125328
N:50-n:4-r0:1-rho:0.9-M:100;KSS_review.py;100;1000000;50;0,5;0,01;0,01;4;1;100;0,9;0,5;lagrange;129,04;1347;22;0,224357552
N:50-n:4-r0:1-rho:0.9-M:10;KSS_review.py;10;1000000;50;0,5;0,01;0,01;4;1;100;0,9;0,5;lagrange;929,43;4999;30;10.917.474.532.699.900
N:50-n:4-r0:1-rho:0.9-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;4;1;100;0,9;0,5;lagrange;3330,35;4999;134;3.071.362.267.459.990
N:50-n:4-r0:1-rho:0.8-M:10000;KSS_review.py;10000;1000000;50;0,5;0,01;0,01;4;1;100;0,8;0,5;lagrange;22,9;33;20;18.805.688.399.300.000
N:50-n:4-r0:1-rho:0.8-M:1000;KSS_review.py;1000;1000000;50;0,5;0,01;0,01;4;1;100;0,8;0,5;lagrange;27,69;62;18;0,19538731
N:50-n:4-r0:1-rho:0.8-M:100;KSS_review.py;100;1000000;50;0,5;0,01;0,01;4;1;100;0,8;0,5;lagrange;52,22;216;16;0,089393235
N:50-n:4-r0:1-rho:0.8-M:10;KSS_review.py;10;1000000;50;0,5;0,01;0,01;4;1;100;0,8;0,5;lagrange;253,95;2558;9;0,297526477
N:50-n:4-r0:1-rho:0.8-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;4;1;100;0,8;0,5;lagrange;1721,7;4999;39;15.846.804.431.700.000
N:50-n:4-r0:1-rho:0.7-M:10000;KSS_review.py;10000;1000000;50;0,5;0,01;0,01;4;1;100;0,7;0,5;lagrange;15,98;21;14;1.320.883.985.580.000
N:50-n:4-r0:1-rho:0.7-M:1000;KSS_review.py;1000;1000000;50;0,5;0,01;0,01;4;1;100;0,7;0,5;lagrange;18,44;33;13;0,131836234
N:50-n:4-r0:1-rho:0.7-M:100;KSS_review.py;100;1000000;50;0,5;0,01;0,01;4;1;100;0,7;0,5;lagrange;27,25;113;13;0,047133053
N:50-n:4-r0:1-rho:0.7-M:10;KSS_review.py;10;1000000;50;0,5;0,01;0,01;4;1;100;0,7;0,5;lagrange;126,18;1175;14;0,147281465
N:50-n:4-r0:1-rho:0.7-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;4;1;100;0,7;0,5;lagrange;661,6;4534;15;0,611166393
N:50-n:4-r0:1-rho:0.6-M:10000;KSS_review.py;10000;1000000;50;0,5;0,01;0,01;4;1;100;0,6;0,5;lagrange;12,39;16;11;10.350.180.069.600.000
N:50-n:4-r0:1-rho:0.6-M:1000;KSS_review.py;1000;1000000;50;0,5;0,01;0,01;4;1;100;0,6;0,5;lagrange;14,34;25;11;0,102250855
N:50-n:4-r0:1-rho:0.6-M:100;KSS_review.py;100;1000000;50;0,5;0,01;0,01;4;1;100;0,6;0,5;lagrange;22,98;71;10;0,039862746
N:50-n:4-r0:1-rho:0.6-M:10;KSS_review.py;10;1000000;50;0,5;0,01;0,01;4;1;100;0,6;0,5;lagrange;75,36;477;3;0,08795776
N:50-n:4-r0:1-rho:0.6-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;4;1;100;0,6;0,5;lagrange;280,89;1095;19;0,259028583
N:50-n:3-r0:10-rho:0.9-M:10000;KSS_review.py;10000;1000000;50;0,5;0,01;0,01;3;10;100;0,9;0,5;lagrange;4;4;4;0,314812436
N:50-n:3-r0:10-rho:0.9-M:1000;KSS_review.py;1000;1000000;50;0,5;0,01;0,01;3;10;100;0,9;0,5;lagrange;4,75;12;4;0,031621003
N:50-n:3-r0:10-rho:0.9-M:100;KSS_review.py;100;1000000;50;0,5;0,01;0,01;3;10;100;0,9;0,5;lagrange;10,64;35;4;0,018127149
N:50-n:3-r0:10-rho:0.9-M:10;KSS_review.py;10;1000000;50;0,5;0,01;0,01;3;10;100;0,9;0,5;lagrange;42,41;177;9;0,049414453
N:50-n:3-r0:10-rho:0.9-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;3;10;100;0,9;0,5;lagrange;254,43;1129;38;0,234695043
N:50-n:3-r0:10-rho:0.8-M:10000;KSS_review.py;10000;1000000;50;0,5;0,01;0,01;3;10;100;0,8;0,5;lagrange;4,03;5;4;0,316933628
N:50-n:3-r0:10-rho:0.8-M:1000;KSS_review.py;1000;1000000;50;0,5;0,01;0,01;3;10;100;0,8;0,5;lagrange;4,68;10;4;0,03111296
N:50-n:3-r0:10-rho:0.8-M:100;KSS_review.py;100;1000000;50;0,5;0,01;0,01;3;10;100;0,8;0,5;lagrange;11,02;33;4;0,01876832
N:50-n:3-r0:10-rho:0.8-M:10;KSS_review.py;10;1000000;50;0,5;0,01;0,01;3;10;100;0,8;0,5;lagrange;50,62;271;4;0,05899336
N:50-n:3-r0:10-rho:0.8-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;3;10;100;0,8;0,5;lagrange;307,74;1108;60;0,283452525
N:50-n:3-r0:10-rho:0.7-M:10000;KSS_review.py;10000;1000000;50;0,5;0,01;0,01;3;10;100;0,7;0,5;lagrange;5;5;5;0,385146961
N:50-n:3-r0:10-rho:0.7-M:1000;KSS_review.py;1000;1000000;50;0,5;0,01;0,01;3;10;100;0,7;0,5;lagrange;5,58;10;5;0,036659736
N:50-n:3-r0:10-rho:0.7-M:100;KSS_review.py;100;1000000;50;0,5;0,01;0,01;3;10;100;0,7;0,5;lagrange;11,07;35;4;0,018594673
N:50-n:3-r0:10-rho:0.7-M:10;KSS_review.py;10;1000000;50;0,5;0,01;0,01;3;10;100;0,7;0,5;lagrange;49,03;133;9;0,057064682
N:50-n:3-r0:10-rho:0.7-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;3;10;100;0,7;0,5;lagrange;359,7;1039;91;0,33166163
N:50-n:3-r0:10-rho:0.6-M:10000;KSS_review.py;10000;1000000;50;0,5;0,01;0,01;3;10;100;0,6;0,5;lagrange;6,01;7;6;0,455159048
N:50-n:3-r0:10-rho:0.6-M:1000;KSS_review.py;1000;1000000;50;0,5;0,01;0,01;3;10;100;0,6;0,5;lagrange;6,7;10;5;0,044673117
N:50-n:3-r0:10-rho:0.6-M:100;KSS_review.py;100;1000000;50;0,5;0,01;0,01;3;10;100;0,6;0,5;lagrange;13,31;32;6;0,022660381
N:50-n:3-r0:10-rho:0.6-M:10;KSS_review.py;10;1000000;50;0,5;0,01;0,01;3;10;100;0,6;0,5;lagrange;61,26;157;9;0,071810128
N:50-n:3-r0:10-rho:0.6-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;3;10;100;0,6;0,5;lagrange;498,52;1133;40;0,459131865
N:50-n:3-r0:5-rho:0.9-M:10000;KSS_review.py;10000;1000000;50;0,5;0,01;0,01;3;5;100;0,9;0,5;lagrange;2;2;2;0,169199432
N:50-n:3-r0:5-rho:0.9-M:1000;KSS_review.py;1000;1000000;50;0,5;0,01;0,01;3;5;100;0,9;0,5;lagrange;2,87;13;2;0,019188719
N:50-n:3-r0:5-rho:0.9-M:100;KSS_review.py;100;1000000;50;0,5;0,01;0,01;3;5;100;0,9;0,5;lagrange;8,43;42;2;0,01438657
N:50-n:3-r0:5-rho:0.9-M:10;KSS_review.py;10;1000000;50;0,5;0,01;0,01;3;5;100;0,9;0,5;lagrange;59,92;710;3;0,070479916
N:50-n:3-r0:5-rho:0.9-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;3;5;100;0,9;0,5;lagrange;370,53;4845;24;0,339995759
N:50-n:3-r0:5-rho:0.8-M:10000;KSS_review.py;10000;1000000;50;0,5;0,01;0,01;3;5;100;0,8;0,5;lagrange;2;2;2;0,169217732
N:50-n:3-r0:5-rho:0.8-M:1000;KSS_review.py;1000;1000000;50;0,5;0,01;0,01;3;5;100;0,8;0,5;lagrange;2,6;9;2;0,017320162
N:50-n:3-r0:5-rho:0.8-M:100;KSS_review.py;100;1000000;50;0,5;0,01;0,01;3;5;100;0,8;0,5;lagrange;8,25;28;2;0,014114374
N:50-n:3-r0:5-rho:0.8-M:10;KSS_review.py;10;1000000;50;0,5;0,01;0,01;3;5;100;0,8;0,5;lagrange;47,32;227;8;0,055077641
N:50-n:3-r0:5-rho:0.8-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;3;5;100;0,8;0,5;lagrange;256,89;1351;30;0,235662159
N:50-n:3-r0:5-rho:0.7-M:10000;KSS_review.py;10000;1000000;50;0,5;0,01;0,01;3;5;100;0,7;0,5;lagrange;2;2;2;0,16926199
N:50-n:3-r0:5-rho:0.7-M:1000;KSS_review.py;1000;1000000;50;0,5;0,01;0,01;3;5;100;0,7;0,5;lagrange;2,55;11;2;0,017140603
N:50-n:3-r0:5-rho:0.7-M:100;KSS_review.py;100;1000000;50;0,5;0,01;0,01;3;5;100;0,7;0,5;lagrange;8,97;45;2;0,015237275
N:50-n:3-r0:5-rho:0.7-M:10;KSS_review.py;10;1000000;50;0,5;0,01;0,01;3;5;100;0,7;0,5;lagrange;41,78;144;4;0,048772616
N:50-n:3-r0:5-rho:0.7-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;3;5;100;0,7;0,5;lagrange;228,07;1048;46;0,212350539
N:50-n:3-r0:5-rho:0.6-M:10000;KSS_review.py;10000;1000000;50;0,5;0,01;0,01;3;5;100;0,6;0,5;lagrange;2,04;3;2;0,172276461
N:50-n:3-r0:5-rho:0.6-M:1000;KSS_review.py;1000;1000000;50;0,5;0,01;0,01;3;5;100;0,6;0,5;lagrange;2,75;6;2;0,018355322
N:50-n:3-r0:5-rho:0.6-M:100;KSS_review.py;100;1000000;50;0,5;0,01;0,01;3;5;100;0,6;0,5;lagrange;8,81;32;2;0,01501421
N:50-n:3-r0:5-rho:0.6-M:10;KSS_review.py;10;1000000;50;0,5;0,01;0,01;3;5;100;0,6;0,5;lagrange;42,01;147;2;0,048947135
N:50-n:3-r0:5-rho:0.6-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;3;5;100;0,6;0,5;lagrange;266,86;918;47;0,245809399
N:50-n:3-r0:1-rho:0.9-M:10000;KSS_review.py;10000;1000000;50;0,5;0,01;0,01;3;1;100;0,9;0,5;lagrange;17,79;28;14;12.770.077.667.099.900
N:50-n:3-r0:1-rho:0.9-M:1000;KSS_review.py;1000;1000000;50;0,5;0,01;0,01;3;1;100;0,9;0,5;lagrange;24,88;77;14;0,162541142
N:50-n:3-r0:1-rho:0.9-M:100;KSS_review.py;100;1000000;50;0,5;0,01;0,01;3;1;100;0,9;0,5;lagrange;57,84;738;12;0,097672256
N:50-n:3-r0:1-rho:0.9-M:10;KSS_review.py;10;1000000;50;0,5;0,01;0,01;3;1;100;0,9;0,5;lagrange;544,76;4999;8;0,636950475
N:50-n:3-r0:1-rho:0.9-M:1;KSS_review.py;1;1000000;50;0,5;0,01;0,01;3;1;100;0,9;0,5;lagrange;2866,52;4999;37;263.969.514.393
