Name;M;M1;N;X0;eps;h;n;r0;repetition;rho;sigma;tipo;average;max;min;timeSGD
N:200-n:5-r0:1-rho:0.8-M:100;100;1000000;200;0,5;0,01;0,01;5;1;100;0,8;0,5;lagrange;67,82;755;5;0,492374135
N:200-n:5-r0:5-rho:0.6-M:10;10;1000000;200;0,5;0,01;0,01;5;5;100;0,6;0,5;lagrange;437,04;840;152;1.979.970.193.020.010
N:200-n:5-r0:1-rho:0.9-M:1;1;1000000;200;0,5;0,01;0,01;5;1;100;0,9;0,5;lagrange;3979,64;4999;133;14.184.755.278.539.900
N:200-n:5-r0:1-rho:0.9-M:100;100;1000000;200;0,5;0,01;0,01;5;1;100;0,9;0,5;lagrange;128;2918;6;0,927569314
N:200-n:5-r0:1-rho:0.9-M:10;10;1000000;200;0,5;0,01;0,01;5;1;100;0,9;0,5;lagrange;1935,83;4999;10;8.832.196.333.290.010
N:200-n:5-r0:5-rho:0.6-M:1;1;1000000;200;0,5;0,01;0,01;5;5;100;0,6;0,5;lagrange;4262,37;4999;878;15.148.253.144.030.000
N:200-n:4-r0:1-rho:0.6-M:100;100;1000000;200;0,5;0,01;0,01;4;1;100;0,6;0,5;lagrange;26,6;159;3;0,187362666
N:200-n:4-r0:1-rho:0.6-M:10;10;1000000;200;0,5;0,01;0,01;4;1;100;0,6;0,5;lagrange;176,31;767;18;0,806482188
N:200-n:4-r0:1-rho:0.7-M:1;1;1000000;200;0,5;0,01;0,01;4;1;100;0,7;0,5;lagrange;1235,44;4999;121;4.403.944.911.019.990
N:200-n:4-r0:5-rho:0.9-M:100;100;1000000;200;0,5;0,01;0,01;4;5;100;0,9;0,5;lagrange;29,71;93;7;0,208062884
T=2;;1000000;;0,5;0,01;0,01;;;100;;0,5;lagrange;;;;
N:200-n:4-r0:1-rho:0.7-M:10;10;1000000;200;0,5;0,01;0,01;4;1;100;0,7;0,5;lagrange;176,58;908;13;0,80544139
N:200-n:4-r0:5-rho:0.9-M:1;1;1000000;200;0,5;0,01;0,01;4;5;100;0,9;0,5;lagrange;1254,33;4680;194;44.748.718.404.200.000
N:200-n:4-r0:5-rho:0.8-M:100;100;1000000;200;0,5;0,01;0,01;4;5;100;0,8;0,5;lagrange;32,81;96;9;0,229740251
N:200-n:4-r0:5-rho:0.9-M:10;10;1000000;200;0,5;0,01;0,01;4;5;100;0,9;0,5;lagrange;185,85;902;32;0,841043906
N:200-n:4-r0:1-rho:0.6-M:1;1;1000000;200;0,5;0,01;0,01;4;1;100;0,6;0,5;lagrange;1338,35;4541;238;495.848.753.585
N:200-n:4-r0:1-rho:0.7-M:100;100;1000000;200;0,5;0,01;0,01;4;1;100;0,7;0,5;lagrange;38,4;288;5;0,267118448
N:200-n:4-r0:5-rho:0.8-M:10;10;1000000;200;0,5;0,01;0,01;4;5;100;0,8;0,5;lagrange;199,38;672;54;0,904788493
N:200-n:4-r0:5-rho:0.8-M:1;1;1000000;200;0,5;0,01;0,01;4;5;100;0,8;0,5;lagrange;1377,45;4999;123;4.907.108.593.239.990
N:200-n:4-r0:5-rho:0.7-M:100;100;1000000;200;0,5;0,01;0,01;4;5;100;0,7;0,5;lagrange;39,74;84;10;0,278185729
