Name;K;M;M1;N;N1;T;X0;eps;h;n;r0;repetition;rho;sigma;tau;tipo;average;max;min;timeSGD
r0:5-rho:0.9-M:10000-K:0.0005-tau:0.5-n:6;0,0005;10000;1000000;200;200;2;0,5;0,01;0,01;6;5;10;0,9;0,5;0,5;lagrange;5;5;5;26.727.076.578.994.400
r0:5-rho:0.9-M:10000-K:0.0005-tau:0.5-n:5;0,0005;10000;1000000;200;200;2;0,5;0,01;0,01;5;5;10;0,9;0,5;0,5;lagrange;5,5;6;5;26.225.157.339.998.900
r0:5-rho:0.9-M:10000-K:0.0005-tau:0.5-n:4;0,0005;10000;1000000;200;200;2;0,5;0,01;0,01;4;5;10;0,9;0,5;0,5;lagrange;7;7;7;29.564.699.000.002.200
r0:5-rho:0.9-M:10000-K:0.0005-tau:0.5-n:3;0,0005;10000;1000000;200;200;2;0,5;0,01;0,01;3;5;10;0,9;0,5;0,5;lagrange;8;8;8;29.597.770.963.002.400
r0:5-rho:0.9-M:10000-K:0.0005-tau:0.1-n:8;0,0005;10000;1000000;200;200;2;0,5;0,01;0,01;8;5;10;0,9;0,5;0,1;lagrange;4;4;4;2.624.944.870.699.980
r0:5-rho:0.9-M:10000-K:0.0005-tau:0.1-n:7;0,0005;10000;1000000;200;200;2;0,5;0,01;0,01;7;5;10;0,9;0,5;0,1;lagrange;4;4;4;23.927.869.965.002.100
r0:5-rho:0.9-M:10000-K:0.0005-tau:0.1-n:6;0,0005;10000;1000000;200;200;2;0,5;0,01;0,01;6;5;10;0,9;0,5;0,1;lagrange;5;5;5;26.810.613.418.994.700
r0:5-rho:0.9-M:10000-K:0.0005-tau:0.1-n:5;0,0005;10000;1000000;200;200;2;0,5;0,01;0,01;5;5;10;0,9;0,5;0,1;lagrange;5,5;6;5;261.249.042.940.035
r0:5-rho:0.9-M:10000-K:0.0005-tau:0.1-n:4;0,0005;10000;1000000;200;200;2;0,5;0,01;0,01;4;5;10;0,9;0,5;0,1;lagrange;7;7;7;29.483.012.620.999.900
r0:5-rho:0.9-M:10000-K:0.0005-tau:0.1-n:3;0,0005;10000;1000000;200;200;2;0,5;0,01;0,01;3;5;10;0,9;0,5;0,1;lagrange;8;8;8;29.620.132.680.996.900
r0:5-rho:0.9-M:10000-K:0.0007-tau:1-n:8;0,0007;10000;1000000;200;200;2;0,5;0,01;0,01;8;5;10;0,9;0,5;1;lagrange;4;4;4;26.154.464.018.996.800
r0:5-rho:0.9-M:10000-K:0.0007-tau:1-n:7;0,0007;10000;1000000;200;200;2;0,5;0,01;0,01;7;5;10;0,9;0,5;1;lagrange;4;4;4;2.371.522.534.700.480
r0:5-rho:0.9-M:10000-K:0.0007-tau:1-n:6;0,0007;10000;1000000;200;200;2;0,5;0,01;0,01;6;5;10;0,9;0,5;1;lagrange;5;5;5;26.582.017.821.005.100
r0:5-rho:0.9-M:10000-K:0.0007-tau:1-n:5;0,0007;10000;1000000;200;200;2;0,5;0,01;0,01;5;5;10;0,9;0,5;1;lagrange;5,2;6;5;24.517.915.106.000.100
r0:5-rho:0.9-M:10000-K:0.0007-tau:1-n:4;0,0007;10000;1000000;200;200;2;0,5;0,01;0,01;4;5;10;0,9;0,5;1;lagrange;7,1;8;7;29.952.663.390.999.000
r0:5-rho:0.9-M:10000-K:0.0007-tau:1-n:3;0,0007;10000;1000000;200;200;2;0,5;0,01;0,01;3;5;10;0,9;0,5;1;lagrange;9,3;11;8;3.431.054.350.100.020
r0:5-rho:0.9-M:10000-K:0.0007-tau:0.5-n:8;0,0007;10000;1000000;200;200;2;0,5;0,01;0,01;8;5;10;0,9;0,5;0,5;lagrange;4;4;4;26.275.815.485.998.400
r0:5-rho:0.9-M:10000-K:0.0007-tau:0.5-n:7;0,0007;10000;1000000;200;200;2;0,5;0,01;0,01;7;5;10;0,9;0,5;0,5;lagrange;4;4;4;23.940.319.701.003.300
r0:5-rho:0.9-M:10000-K:0.0007-tau:0.5-n:6;0,0007;10000;1000000;200;200;2;0,5;0,01;0,01;6;5;10;0,9;0,5;0,5;lagrange;5;5;5;2.679.174.427.300.310
r0:5-rho:0.9-M:10000-K:0.0007-tau:0.5-n:5;0,0007;10000;1000000;200;200;2;0,5;0,01;0,01;5;5;10;0,9;0,5;0,5;lagrange;5,3;6;5;2.520.493.577.900.190
r0:5-rho:0.9-M:10000-K:0.0007-tau:0.5-n:4;0,0007;10000;1000000;200;200;2;0,5;0,01;0,01;4;5;10;0,9;0,5;0,5;lagrange;7;7;7;29.526.614.761.001.800
r0:5-rho:0.9-M:10000-K:0.0007-tau:0.5-n:3;0,0007;10000;1000000;200;200;2;0,5;0,01;0,01;3;5;10;0,9;0,5;0,5;lagrange;9,4;14;8;34.715.148.447.998.200
r0:5-rho:0.9-M:10000-K:0.0007-tau:0.1-n:8;0,0007;10000;1000000;200;200;2;0,5;0,01;0,01;8;5;10;0,9;0,5;0,1;lagrange;4;4;4;26.288.359.156.998.900
r0:5-rho:0.9-M:10000-K:0.0007-tau:0.1-n:7;0,0007;10000;1000000;200;200;2;0,5;0,01;0,01;7;5;10;0,9;0,5;0,1;lagrange;4;4;4;23.882.288.842.003.600
r0:5-rho:0.9-M:10000-K:0.0007-tau:0.1-n:6;0,0007;10000;1000000;200;200;2;0,5;0,01;0,01;6;5;10;0,9;0,5;0,1;lagrange;5;5;5;26.650.907.964.001.800
r0:5-rho:0.9-M:10000-K:0.0007-tau:0.1-n:5;0,0007;10000;1000000;200;200;2;0,5;0,01;0,01;5;5;10;0,9;0,5;0,1;lagrange;5,4;6;5;25.622.553.431.996.400
r0:5-rho:0.9-M:10000-K:0.0007-tau:0.1-n:4;0,0007;10000;1000000;200;200;2;0,5;0,01;0,01;4;5;10;0,9;0,5;0,1;lagrange;7;7;7;29.514.137.252.001.000
r0:5-rho:0.9-M:10000-K:0.0007-tau:0.1-n:3;0,0007;10000;1000000;200;200;2;0,5;0,01;0,01;3;5;10;0,9;0,5;0,1;lagrange;8,8;11;8;32.574.484.638.003.900
r0:5-rho:0.9-M:10000-K:0.001-tau:1-n:8;0,001;10000;1000000;200;200;2;0,5;0,01;0,01;8;5;10;0,9;0,5;1;lagrange;4;4;4;2.628.992.290.500.170
